GIOSK SCAN REPORT - Fri, 20 Feb 2026 00:04:58 -03
Target: 77.37.41.153 | Ports: 1-1024
--------------------------------------------------
[+] 77.37.41.153    | Port: 22    | Banner: "SSH-2.0-OpenSSH_9.6p1 Ubuntu-3ubuntu13.14\r\n"
[-] 77.37.41.153    | Port: 17    | Status: closed
[-] 77.37.41.153    | Port: 1     | Status: closed
[-] 77.37.41.153    | Port: 13    | Status: closed
[-] 77.37.41.153    | Port: 19    | Status: closed
[-] 77.37.41.153    | Port: 18    | Status: closed
[-] 77.37.41.153    | Port: 100   | Status: closed
[-] 77.37.41.153    | Port: 16    | Status: closed
[-] 77.37.41.153    | Port: 14    | Status: closed
[-] 77.37.41.153    | Port: 26    | Status: closed
[-] 77.37.41.153    | Port: 7     | Status: closed
[-] 77.37.41.153    | Port: 63    | Status: closed
[-] 77.37.41.153    | Port: 4     | Status: closed
[-] 77.37.41.153    | Port: 23    | Status: closed
[-] 77.37.41.153    | Port: 15    | Status: closed
[-] 77.37.41.153    | Port: 2     | Status: closed
[-] 77.37.41.153    | Port: 64    | Status: closed
[-] 77.37.41.153    | Port: 25    | Status: closed
[-] 77.37.41.153    | Port: 24    | Status: closed
[-] 77.37.41.153    | Port: 91    | Status: closed
[-] 77.37.41.153    | Port: 3     | Status: closed
[-] 77.37.41.153    | Port: 74    | Status: closed
[-] 77.37.41.153    | Port: 82    | Status: closed
[-] 77.37.41.153    | Port: 73    | Status: closed
[-] 77.37.41.153    | Port: 92    | Status: closed
[-] 77.37.41.153    | Port: 86    | Status: closed
[-] 77.37.41.153    | Port: 84    | Status: closed
[-] 77.37.41.153    | Port: 75    | Status: closed
[-] 77.37.41.153    | Port: 83    | Status: closed
[-] 77.37.41.153    | Port: 68    | Status: closed
[-] 77.37.41.153    | Port: 85    | Status: closed
[-] 77.37.41.153    | Port: 97    | Status: closed
[-] 77.37.41.153    | Port: 98    | Status: closed
[-] 77.37.41.153    | Port: 21    | Status: closed
[-] 77.37.41.153    | Port: 99    | Status: closed
[-] 77.37.41.153    | Port: 20    | Status: closed
[-] 77.37.41.153    | Port: 69    | Status: closed
[-] 77.37.41.153    | Port: 5     | Status: closed
[-] 77.37.41.153    | Port: 93    | Status: closed
[-] 77.37.41.153    | Port: 94    | Status: closed
[-] 77.37.41.153    | Port: 96    | Status: closed
[-] 77.37.41.153    | Port: 27    | Status: closed
[-] 77.37.41.153    | Port: 95    | Status: closed
[-] 77.37.41.153    | Port: 87    | Status: closed
[-] 77.37.41.153    | Port: 8     | Status: closed
[-] 77.37.41.153    | Port: 78    | Status: closed
[-] 77.37.41.153    | Port: 88    | Status: closed
[-] 77.37.41.153    | Port: 36    | Status: closed
[-] 77.37.41.153    | Port: 70    | Status: closed
[-] 77.37.41.153    | Port: 46    | Status: closed
[-] 77.37.41.153    | Port: 32    | Status: closed
[-] 77.37.41.153    | Port: 30    | Status: closed
[-] 77.37.41.153    | Port: 71    | Status: closed
[-] 77.37.41.153    | Port: 6     | Status: closed
[-] 77.37.41.153    | Port: 11    | Status: closed
[-] 77.37.41.153    | Port: 31    | Status: closed
[-] 77.37.41.153    | Port: 76    | Status: closed
